20201001;GENêTICA QUANTITATIVA
20202008;GENêTICA MOLECULAR E DE MICROORGANISMOS
20203004;GENêTICA VEGETAL
20204000;GENêTICA ANIMAL
20205007;GENêTICA HUMANA E MêDICA
20206003;MUTAGENESE
;µREA DE AVALIAÄ«O: CI“NCIAS BIOL‡GICAS II
;
;
20600003;MORFOLOGIA
20601000;CITOLOGIA E BIOLOGIA CELULAR
20602006;EMBRIOLOGIA
20603002;HISTOLOGIA
20604009;ANATOMIA
20604017;ANATOMIA HUMANA
20604025;ANATOMIA ANIMAL
;
20700008;FISIOLOGIA
20701004;FISIOLOGIA GERAL
20702000;FISIOLOGIA DOS ‡RG«OS E SISTEMAS
20702019;NEUROFISIOLOGIA
20702027;FISIOLOGIA CARDIOVASCULAR
20702035;FISIOLOGIA DA RESPIRAÄ«O
20702043;FISIOLOGIA RENAL
20702051;FISIOLOGIA END‡CRINA
20702060;FISIOLOGIA DA DIGEST«O
20702078;CINESIOLOGIA
20703007;FISIOLOGIA DO ESFORÄO
20704003;FISIOLOGIA COMPARADA
;
20800002;BIOQU÷MICA
20801009;QU÷MICA DE MACROMOLêCULAS
20801017;PROTE÷NAS
20801025;LIP÷DEOS
20801033;GLIC÷DEOS
20802005;BIOQU÷MICA DOS MICROORGANISMOS
20803001;METABOLISMO E BIOENERGêTICA
20804008;BIOLOGIA MOLECULAR
20805004;ENZIMOLOGIA
;
20900007;BIOF÷SICA
20901003;BIOF÷SICA MOLECULAR
20902000;BIOF÷SICA CELULAR
20903006;BIOF÷SICA DE PROCESSOS E SISTEMAS
20904002;RADIOLOGIA E FOTOBIOLOGIA
;
21000000;FARMACOLOGIA
21001006;FARMACOLOGIA GERAL
21001014;FARMACOCINêTICA
21001022;BIODISPONIBILIDADE
21002002;FARMACOLOGIA AUTON‚MICA
21003009;NEUROPSICOFARMACOLOGIA
21004005;FARMACOLOGIA CARDIORENAL
21005001;FARMACOLOGIA BIOQUIMICA E MOLECULAR
21006008;ETNOFARMACOLOGIA
21007004;TOXICOLOGIA
21008000;FARMACOLOGIA CL÷NICA
;µREA DE AVALIAÄ«O: CI“NCIAS BIOL‡GICAS III
;
;
21100004;IMUNOLOGIA
21101000;IMUNOQU÷MICA
21102007;IMUNOLOGIA CELULAR
21103003;IMUNOGENêTICA
21104000;IMUNOLOGIA APLICADA
;
21200009;MICROBIOLOGIA
21201005;BIOLOGIA E FISIOLOGIA DOS MICROORGANISMOS
21201013;VIROLOGIA
21201021;BACTERIOLOGIA
21201030;MICOLOGIA
21202001;MICROBIOLOGIA APLICADA
21202010;MICROBIOLOGIA MêDICA
21202028;MICROBIOLOGIA INDUSTRIAL E DE FERMENTAÄ«O
;
21300003;PARASITOLOGIA
21301000;PROTOZOOLOGIA DE PARASITOS
21301018;PROTOZOOLOGIA PARASITµRIA HUMANA
21301026;PROTOZOOLOGIA PARASITµRIA ANIMAL
21302006;HELMINTOLOGIA DE PARASITOS
21302014;HELMINTOLOGIA HUMANA
21302022;HELMINTOLOGIA ANIMAL
21303002;ENTOMOLOGIA E MALACOLOGIA DE PARASITOS E VETORES
;µREA DE AVALIAÄ«O: BIODIVERSIDADE
;
;
20500009;ECOLOGIA
20501005;ECOLOGIA TE‡RICA
20502001;ECOLOGIA DE ECOSSISTEMAS
20503008;ECOLOGIA APLICADA
10800000;
;OCEANOGRAFIA
10801006;OCEANOGRAFIA BIOL‡GICA
10801014;INTER.ENTRE OS ORGAN.MARINHOS E OS PAR∂METROS AMBIENTAIS
;
20300000;BOT∂NICA
20301006;PALEOBOT∂NICA
20302002;MORFOLOGIA VEGETAL
20302010;MORFOLOGIA EXTERNA
20302029;CITOLOGIA VEGETAL
20302037;ANATOMIA VEGETAL
20302045;PALINOLOGIA
20303009;FISIOLOGIA VEGETAL
20303017;NUTRIÄ«O E CRESCIMENTO VEGETAL
20303025;REPRODUÄ«O VEGETAL
20303033;ECOFISIOLOGIA VEGETAL
20304005;TAXONOMIA VEGETAL
20304013;TAXONOMIA DE CRIPT‡GAMOS
20304021;TAXONOMIA DE FANEROGAMOS
20305001;FITOGEOGRAFIA
20306008;BOT∂NICA APLICADA
;
20400004;ZOOLOGIA
20401000;PALEOZOOLOGIA
20402007;MORFOLOGIA DOS GRUPOS RECENTES
20403003;FISIOLOGIA DOS GRUPOS RECENTES
20404000;COMPORTAMENTO ANIMAL
20405006;TAXONOMIA DOS GRUPOS RECENTES
20406002;ZOOLOGIA APLICADA
20406010;CONSERVAÄ«O DAS ESPêCIES ANIMAIS
20406029;UTILIZAÄ«O DOS ANIMAIS
20406037;CONTROLE POPULACIONAL DE ANIMAIS
;
;
30000009;ENGENHARIAS
;
;µREA DE AVALIAÄ«O: ENGENHARIAS I
;
;
30100003;ENGENHARIA CIVIL
30101000;CONSTRUÄ«O CIVIL
30101018;MATERIAIS E COMPONENTES DE CONSTRUÄ«O
30101026;PROCESSOS CONSTRUTIVOS
30101034;INSTALAÄÂES PREDIAIS
30102006;ESTRUTURAS
30102014;ESTRUTURAS DE CONCRETO
30102022;ESTRUTURAS DE MADEIRAS
30102030;ESTRUTURAS METµLICAS
30102049;MEC∂NICA DAS ESTRUTURAS
30103002;GEOTêCNICA
30103010;FUNDAÄÂES E ESCAVAÄÂES
30103029;MEC∂NICAS DAS ROCHAS
30103037;MEC∂NICA DOS SOLOS
30103045;OBRAS DE TERRA E ENROCAMENTO
30103053;PAVIMENTOS
30104009;ENGENHARIA HIDRµULICA
30104017;HIDRµULICA
30104025;HIDROLOGIA
30105005;INFRA-ESTRUTURA DE TRANSPORTES
30105013;"AEROPORTOS; PROJETO E CONSTRUÄ«O"
30105021;"FERROVIAS; PROJETOS E CONSTRUÄ«O"
30105030;"PORTOS E VIAS NAVEGµVEIS; PROJETO E CONSTRUÄ«O"
30105048;"RODOVIAS; PROJETO E CONSTRUÄ«O"
;
30700000;ENGENHARIA SANITµRIA
30701007;RECURSOS H÷DRICOS
30701015;PLANEJAMENTO INTEGRADO DOS RECURSOS H÷DRICOS
30701023;TECNOLOGIA E PROBLEMAS SANITµRIOS DE IRRIGAÄ«O
30701031;µGUAS SUBTERR∂NEAS E POÄOS PROFUNDOS
30701040;CONTROLE DE ENCHENTES E DE BARRAGENS
30701058;SEDIMENTOLOGIA
30702003;TRATAMENTO DE µGUAS DE ABASTECIMENTO E RESIDUµRIAS
30702011;QU÷MICA SANITµRIA
30702020;PROCESSOS SIMPLIFICADOS DE TRATAMENTO DE µGUAS
30702038;TêCNICAS CONVENCIONAIS DE TRATAMENTO DE µGUAS
30702046;TêCNICAS AVANÄADAS DE TRATAMENTO DE µGUAS
30702054;ESTUDOS E CARACTERIZAÄ«O DE EFLUENTES INDUSTRIAIS
30702062;LAY OUT DE PROCESSOS INDUSTRIAIS
30702070;RES÷DUOS RADIOATIVOS
30702078;TêCNICAS CONVENCIONAIS DE TRATAMENTO DE µGUAS
30703000;SANEAMENTO BµSICO
30703018;TêCNICAS DE ABASTECIMENTO DA µGUA
30703026;DRENAGEM DE µGUAS RESIDUµRIAS
30703034;DRENAGEM URBANA DE µGUAS PLUVIAIS
30703042;RES÷DUOS S‡LIDOS, DOMêSTICOS E INDUSTRIAIS
30703050;LIMPEZA PÈBLICA
30703069;INSTALAÄÂES HIDRµULICO-SANITµRIAS
30704006;SANEAMENTO AMBIENTAL
30704014;ECOLOGIA APLICADA ∑ ENGENHARIA SANITµRIA
30704022;MICROBIOLOGIA APLICADA E ENGENHARIA SANITµRIA
30704030;PARASITOLOGIA APLICADA ∑ ENGENHARIA SANITµRIA
30704049;QUALIDADE DO AR, DAS µGUAS E DO SOLO
30704057;CONTROLE DA POLUIÄ«O
30704065;LEGISLAÄ«O AMBIENTAL
;
31000002;ENGENHARIA DE TRANSPORTES
31001009;PLANEJAMENTO DE TRANSPORTES
31001017;PLANEJAMENTO E ORGANIZAÄ«O DO SISTEMA DE TRANSPORTE
31001025;ECONOMIA DOS TRANSPORTES
31002005;VE÷CULOS E EQUIPAMENTOS DE CONTROLE
31002013;VIAS DE TRANSPORTE
31002021;VE÷CULOS DE TRANSPORTES
31002030;ESTAÄ«O DE TRANSPORTE
31002048;EQUIPAMENTOS AUXILIARES E CONTROLES
31003001;OPERAÄÂES DE TRANSPORTES
31003010;ENGENHARIA DE TRµFEGO
31003028;CAPACIDADE DE VIAS DE TRANSPORTE
31003036;OPERAÄ«O DE SISTEMAS DE TRANSPORTE
;µREA DE AVALIAÄ«O: ENGENHARIAS II
;
;
30200008;ENGENHARIA DE MINAS
30201004;PESQUISA MINERAL
30201012;CARACTERIZAÄ«O DO MINêRIO
30201020;DIMENSIONAMENTO DE JAZIDAS
30202000;LAVRA
30202019;LAVRA A CêU ABERTO
30202027;LAVRA DE MINA SUBTERR∂NEA
30202035;EQUIPAMENTOS DE LAVRA
30203007;TRATAMENTO DE MINêRIOS
30203015;MêTODOS DE CONCENTRAÄ«O E ENRIQUECIMENTOS DE MINêRIOS
30203023;EQUIPAMENTOS DE BENEFICIAMENTO DE MINêRIOS
;
30300002;ENGENHARIA DE MATERIAIS E METALÈRGICA
