156;10602054;FOTO-QUÍMICA INORGÂNICA
157;10602062;FÍSICO QUÍMICA INORGÂNICA
158;10602070;QUÍMICA BIO-INORGÂNICA
159;10603000;FÍSICO-QUÍMICA
160;10603018;CINÉTICA QUÍMICA E CATALISE
161;10603026;ELETROQUÍMICA
162;10603034;ESPECTROSCOPIA
163;10603042;QUÍMICA DE INTERFACES
164;10603050;QUÍMICA DO ESTADO CONDENSADO
165;10603069;QUÍMICA NÚCLEAR E RADIOQUÍMICA
166;10603077;QUÍMICA TEÓRICA
167;10603085;TERMODINÂMICA QUÍMICA
168;10604006;QUÍMICA ANALÍTICA
169;10604014;SEPARAÇÃO
170;10604022;MÉTODOS ÓTICOS DE ANÁLISE
171;10604030;ELETROANALÍTICA
172;10604049;GRAVIMETRIA
173;10604057;TITIMETRIA
174;10604065;INSTRUMENTAÇÃO ANALÍTICA
175;10604073;ANÁLISE DE TRAÇOS E QUÍMICA AMBIENTAL
176;10700005;GEOCIÊNCIAS
177;10701001;GEOLOGIA
178;10701010;MINERALOGIA
179;10701028;PETROLOGIA
180;10701036;GEOQUÍMICA
181;10701044;GEOLOGIA REGIONAL
182;10701052;GEOTECTÔNICA
183;10701060;GEOCRONOLOGIA
184;10701079;CARTOGRAFIA GEOLÓGICA
185;10701087;METALOGENIA
186;10701095;HIDROGEOLOGIA
187;10701109;PROSPECÇÃO MINERAL
188;10701117;SEDIMENTOLOGIA
189;10701125;PALEONTOLOGIA ESTRATIGRÁFICA
190;10701133;ESTRATIGRAFIA
191;10701141;GEOLOGIA AMBIENTAL
192;10702008;GEOFÍSICA
193;10702016;GEOMAGNETISMO
194;10702024;SISMOLOGIA
195;10702032;GEOTERMIA E FLUXO TÉRMICO
196;10702040;PROPRIEDADES FÍSICAS DAS ROCHAS
197;10702059;GEOFÍSICA NUCLEAR
198;10702067;SENSORIAMENTO REMOTO
199;10702075;AERONOMIA
200;10702083;DESENVOLVIMENTO DE INSTRUMENTAÇÃO GEOFÍSICA
201;10702091;GEOFÍSICA APLICADA
202;10702105;GRAVIMETRIA
203;10703004;METEOROLOGIA
204;10703012;METEOROLOGIA DINÂMICA
205;10703020;METEOROLOGIA SINÓTICA
206;10703039;METEOROLOGIA FÍSICA
207;10703047;QUÍMICA DA ATMOSFERA
208;10703055;INSTRUMENTAÇÃO METEOROLÓGICA
209;10703063;CLIMATOLOGIA
210;10703071;MICROMETEOROLOGIA
211;10703080;SENSORIAMENTO REMOTO DA ATMOSFERA
212;10703098;METEOROLOGIA APLICADA
213;10704000;GEODÉSIA
214;10704019;GEODÉSIA FÍSICA
215;10704027;GEODÉSIA GEOMÉTRICA
216;10704035;GEODÉSIA CELESTE
217;10704043;FOTOGRAMETRIA
218;10704051;CARTOGRAFIA BÁSICA
219;10705007;GEOGRAFIA FÍSICA
220;10705015;GEOMORFOLOGIA
221;10705023;CLIMATOLOGIA GEOGRÁFICA
222;10705031;PEDOLOGIA
223;10705040;HIDROGEOGRAFIA
224;10705058;GEOECOLOGIA
225;10705066;FOTOGEOGRAFIA (FÍSICO-ECOLÓGICA)
226;10705074;GEOCARTOGRAFIA
227;10802002;OCEANOGRAFIA FÍSICA
228;10802010;VARIÁVEIS FÍSICAS DA ÁGUA DO MAR
229;10802029;MOVIMENTO DA ÁGUA DO MAR
230;10802037;ORIGEM DAS MASSAS DE ÁGUA
231;10802045;INTERAÇÃO DO OCEANO COM O LEITO DO MAR
232;10802053;INTERAÇÃO DO OCEANO COM A ATMOSFERA
233;10803009;OCEANOGRAFIA QUÍMICA
234;10803017;PROPRIEDADES QUÍMICAS DA ÁGUA DO MAR
235;10803025;INTER.QUÍM.-BIOL./GEOL.DAS SUBST. QUIM.DA ÁGUA DO MAR
236;10804005;OCEANOGRAFIA GEOLÓGICA
237;10804013;GEOMORFOLOGIA SUBMARINA
238;10804021;SEDIMENTOLOGIA MARINHA
239;10804030;GEOFÍSICA MARINHA
240;10804048;GEOQUÍMICA MARINHA
241;20000006;CIÊNCIAS BIOLÓGICAS
242;20100000;BIOLOGIA GERAL
243;20200005;GENÉTICA
244;20201001;GENÉTICA QUANTITATIVA
245;20202008;GENÉTICA MOLECULAR E DE MICROORGANISMOS
246;20203004;GENÉTICA VEGETAL
247;20204000;GENÉTICA ANIMAL
248;20205007;GENÉTICA HUMANA E MÉDICA
249;20206003;MUTAGENESE
250;20600003;MORFOLOGIA
251;20601000;CITOLOGIA E BIOLOGIA CELULAR
252;20602006;EMBRIOLOGIA
253;20603002;HISTOLOGIA
254;20604009;ANATOMIA
255;20604017;ANATOMIA HUMANA
256;20604025;ANATOMIA ANIMAL
257;20700008;FISIOLOGIA
258;20701004;FISIOLOGIA GERAL
259;20702000;FISIOLOGIA DOS ÓRGÃOS E SISTEMAS
260;20702019;NEUROFISIOLOGIA
261;20702027;FISIOLOGIA CARDIOVASCULAR
262;20702035;FISIOLOGIA DA RESPIRAÇÃO
263;20702043;FISIOLOGIA RENAL
264;20702051;FISIOLOGIA ENDÓCRINA
265;20702060;FISIOLOGIA DA DIGESTÃO
266;20702078;CINESIOLOGIA
267;20703007;FISIOLOGIA DO ESFORÇO
268;20704003;FISIOLOGIA COMPARADA
269;20800002;BIOQUÍMICA
270;20801009;QUÍMICA DE MACROMOLÉCULAS
271;20801017;PROTEÍNAS
272;20801025;LIPÍDEOS
273;20801033;GLICÍDEOS
274;20802005;BIOQUÍMICA DOS MICROORGANISMOS
275;20803001;METABOLISMO E BIOENERGÉTICA
276;20804008;BIOLOGIA MOLECULAR
277;20805004;ENZIMOLOGIA
278;20900007;BIOFÍSICA
279;20901003;BIOFÍSICA MOLECULAR
280;20902000;BIOFÍSICA CELULAR
281;20903006;BIOFÍSICA DE PROCESSOS E SISTEMAS
282;20904002;RADIOLOGIA E FOTOBIOLOGIA
283;21000000;FARMACOLOGIA
284;21001006;FARMACOLOGIA GERAL
285;21001014;FARMACOCINÉTICA
286;21001022;BIODISPONIBILIDADE
287;21002002;FARMACOLOGIA AUTONÔMICA
288;21003009;NEUROPSICOFARMACOLOGIA
289;21004005;FARMACOLOGIA CARDIORENAL
290;21005001;FARMACOLOGIA BIOQUIMICA E MOLECULAR
291;21006008;ETNOFARMACOLOGIA
292;21007004;TOXICOLOGIA
293;21008000;FARMACOLOGIA CLÍNICA
294;21100004;IMUNOLOGIA
295;21101000;IMUNOQUÍMICA
296;21102007;IMUNOLOGIA CELULAR
297;21103003;IMUNOGENÉTICA
298;21104000;IMUNOLOGIA APLICADA
299;21200009;MICROBIOLOGIA
300;21201005;BIOLOGIA E FISIOLOGIA DOS MICROORGANISMOS
301;21201013;VIROLOGIA
302;21201021;BACTERIOLOGIA
303;21201030;MICOLOGIA
304;21202001;MICROBIOLOGIA APLICADA
305;21202010;MICROBIOLOGIA MÉDICA
306;21202028;MICROBIOLOGIA INDUSTRIAL E DE FERMENTAÇÃO
307;21300003;PARASITOLOGIA
308;21301000;PROTOZOOLOGIA DE PARASITOS
309;21301018;PROTOZOOLOGIA PARASITÁRIA HUMANA
310;21301026;PROTOZOOLOGIA PARASITÁRIA ANIMAL
311;21302006;HELMINTOLOGIA DE PARASITOS
312;21302014;HELMINTOLOGIA HUMANA
313;21302022;HELMINTOLOGIA ANIMAL
314;21303002;ENTOMOLOGIA E MALACOLOGIA DE PARASITOS E VETORES
315;20501005;ECOLOGIA TEÓRICA
316;20502001;ECOLOGIA DE ECOSSISTEMAS
317;20503008;ECOLOGIA APLICADA
318;10800000;OCEANOGRAFIA
319;10801006;OCEANOGRAFIA BIOLÓGICA
320;10801014;INTER.ENTRE OS ORGAN.MARINHOS E OS PARÂMETROS AMBIENTAIS
321;20300000;BOTÂNICA
322;20301006;PALEOBOTÂNICA
323;20302002;MORFOLOGIA VEGETAL
324;20302010;MORFOLOGIA EXTERNA
325;20302029;CITOLOGIA VEGETAL
326;20302037;ANATOMIA VEGETAL
327;20302045;PALINOLOGIA
328;20303009;FISIOLOGIA VEGETAL
329;20303017;NUTRIÇÃO E CRESCIMENTO VEGETAL
330;20303025;REPRODUÇÃO VEGETAL
